twitterid,twitter_username,twitter_userid,domain,name,followers_count,tweet_count
ID0056,ashleesimpson,26885308,ashleesimpsonmusic.com,Ashlee Simpson Ross,2191961,1297
ID0057,AshBenzo,33597201,ashleybenson.net,Ashley Benson,3951682,22490
ID0058,TheRealAC3,710064516,,Ashley Cole,2449061,1282
ID0059,ashleytisdale,18091904,thehautemess.com,AshleyTisdaleFrench,12353401,11000
ID0060,Ashton5SOS,439125710,hiorheyrecords.com,Ashton Irwin,6288098,12656
ID0061,aplusk,19058681,,ashton kutcher,17165748,10641
ID0062,assihallani,812613596,assielhallani.com,Assi Hallani,3617709,50759
ID0063,atademirer,170428440,,atademirer,6881334,2376
ID0064,AudrinaPatridge,48399528,audrinapatridge.com,Audrina Patridge,1953394,6739
ID0065,AustinMahone,196795202,,Austin Mahone,9020188,42571
ID0066,AvrilLavigne,73992972,smarturl.it,Avril Lavigne,20670200,4405
ID0067,AxelOficial,35877056,axelweb.com.ar,Axel,3973567,21966
ID0068,ayseozyilmazel,51701366,ayseozyilmazel.net,ayse ozyilmazel,2124191,18834
ID0069,mrsayudewi,35472557,,Ayu Dewi,4185142,12738
ID0070,ayushmannk,38403110,ayushmannk.tumblr.com,Ayushmann Khurrana,6018665,22162
ID0071,azizansari,6480682,azizansari.com,Aziz Ansari,10090313,7586
ID0072,BarackObama,813286,obamabook.com,BarackObama,13444655,16467
ID0073,BSchweinsteiger,1283561876,bastian-schweinsteiger.de,Basti Schweinsteiger,5001230,1840
ID0074,belalfadl,162248086,,Belal Fadl,3859475,24104
ID0075,belindapop,40527958,belindamusic.net,Belinda,6635505,9093
ID0076,bellathorne,48177728,imdb.com,bella thorne,6544599,77280
ID0077,RedHourBen,,,Ben Stiller,,
ID0078,BethanyMota,46832898,youtube.com,Bethany Mota ∞,4760877,25557
ID1523,Beyonce,31239408,beyonce.com,Beyoncé Knowles,15459969,19
ID0080,iamsuperbianca,32751684,iamsuperbianca.com,Bianca Gonzalez,7482378,58584
ID0081,BigSean,17915334,uknowbigsean.com,Big Sean,14252575,21152
ID0082,bigtimerush,79536438,btrband.com,Big Time Rush,3312710,1072
ID0083,BillCosby,,BillCosby.com,Bill Cosby,,
ID0084,BillGates,50393960,gatesnotes.com,Bill Gates,58128522,3848
ID0085,billmaher,19697415,billmaher.com,Bill Maher,10987501,5135
ID0086,BillNye,37710752,billnyebooks.com,Bill Nye,6094342,2511
ID0087,BillSimmons,32765534,grantland.com,Bill Simmons,5677934,33157
ID0088,bipsluvurself,107318424,bipashabasunet.com,Bipasha Basu,6662381,12252
ID0089,BIRDMAN5STAR,38127255,stunnalife.com,BIRDMAN,2426588,10552
ID0090,biz,13,jelly.co,Biz Stone,2649834,9883
ID0091,rickyrozay,,smarturl.it,BlackBottleBoy,,
ID0092,blakegriffin32,,blakegriffin.com,Blake Griffin,,
ID0093,blakeshelton,14920785,blakeshelton.com,Blake Shelton,19857302,12879
ID0094,BoAkwon,169927844,,BoA,3144568,2094
ID0095,bobsaget,38536306,bobsaget.com,bob saget,2287027,3249
ID0096,bomanirani,113278275,,Boman Irani,5514569,9092
ID0097,bonnovanderputt,476946794,,bonno van der putten,437541,26575
ID0098,BradPaisley,41265813,bradpaisley.com,Brad Paisley,4302671,8104
ID0099,bridgitmendler,37457377,,Bridgit Mendler,4193242,9549
ID0100,britneyspears,16409683,britney.lk,Britney Spears,55863848,5632
ID0101,brookeburke,18420140,,Brooke Burke-Charvet,2820232,27419
ID0102,brozoxmiswebs,107120856,victortrujillo.com.mx,brozo xmiswebs,6916463,73844
ID0103,BruMarquezine,58603510,,Bruna Marquezine,10458715,19445
ID0104,brunogagliasso,41036546,,Bruno Gagliasso,5759122,30394
